Category,Category_Studies,Topic,Topic_Studies,Metrics
Failures,32,Software fault prediction,18,"A;ACAIC;ACMIC;AHF;AID;AIF;AMC;AMMIC;ANA;C;Ca;CAM;CBI;CBM;CBMC;CBO;CC;Ce;CLD;Co;COF;DAC;DAM;DCAEC;DCD;DCI;DCMEC;DIT;DMMEC;Dn;EV(G);FANIN;FANOUT;I;IC;ICBMC;ICH;ICP;IV(G);LCC;LCOM;LCOM1;LCOM2;LCOM3;LCOM4;LCOM5;LOC;LSCC;MFA;MHF;MIF;MLOC;MMAC;MOA;MPC;NCLASS;NHD;NIM;NINT;NMI;NMO;NOA;NOAC;NOAI;NOC;NOD;NOM;NOP;NOPA;NOPM;NOPRA;NOPRM;NP;OCAEC;OCAIC;OCMEC;OCMIC;OLN;OMMEC;OMMIC;PCCC;PF;RFC;SCOM;SDMC;SIX;SLOC;TCC;TLCOM;V(G);WMC"
Failures,32,Software defect prediction,8,"ACAIC;AMC;B;BLOC;C;Ca;CAM;CBM;CBO;Ce;DAC;DAM;DIT;DV(G);E;ELOC;EV(G);FANIN;FANOUT;IC;ICP;LCOM;LCOM2;LCOM3;LCOMM;LOC;MFA;MOA;MPC;n;n1;N1;n2;N2;NINT;NOA;NOC;NOM;NOPM;NPATH;RFC;RR;SEIMI;SIX;SLOC;SR;STAT;SUBC;SUPC;UWCS;V;V(G);WMC"
Failures,32,Software bug prediction,4,"BLOC;CBO;DIT;ELOC;EV(G);FANIN;FANOUT;LCOM;LCOMM;LOC;LVAR;MLOC;NCLASS;NEST;NMI;NOA;NOAI;NOC;NOM;NOPA;NOPM;NOPRA;NOPRM;NPAR;NPATH;NSF;NSM;RFC;SLOC;STAT;SV(G);V(G);WMC"
Failures,32,Exception handling,2,"CAAEC;LOC;LOCEH;NOCB;NOFB;NOTB"

Quality,15,Software quality estimation,8,"ACAIC;AID;ANA;Ca;CAM;CBM;CBO;Ce;CIS;CLD;DAC;DAM;DCC;DIT;DSC;FANIN;FANOUT;IC;ICP;LCC;LCOM;LCOM1;LCOM2;LCOM3;LCOM4;LOC;MFA;MLOC;MOA;MPC;NCLASS;NINT;NMI;NMO;NOA;NOAI;NOAM;NOC;NOH;NOM;NOMC;NOP;NOPM;RFC;SEIMI;SUBC;SUPC;TCC;V(G);WMC"
Quality,15,Code smells detection,3,"ATFD;C;CC;CHC;CINT;CM;COM;DCD;DCI;DIT;LCC;LCOM;LCOM1;LCOM2;LCOM3;LCOM4;LCOM5;LOC;LSCC;MLOC;NEST;NOA;NOAM;NOAV;NOC;NOM;NOPA;NPAR;TCC;V(G);WMC"
Quality,15,Dead code predictors,2,"Ca;CBO;Ce;DIT;FANIN;FANOUT;HK;LCOMM;LOC;NMI;NMS;NOC;NOM;RFC;WMC"
Quality,15,Software design quality,2,"AHF;ANA;CAM;CC;CIF;CIS;DAM;DSC;LCOM;LOC;MHF;MOA;NOH;NOM;NOP;NOPA;NOPM;NOPRA;NOPRM;V(G);WCCF;WMC"

Complexity,14,Complex Networks,7,"A;AHF;C;Ca;CBO;COF;COR;DIT;FANIN;FANOUT;LCOM;LCOM2;LCOM5;LOC;LSCC;MHF;NCLASS;NOA;NOC;NOM;NOPA;NOPM;NPAR;RFC;SLOC;SV(G);V(G);WMC"
Complexity,14,Cognitive complexity,3,"STAT;V(G)"
Complexity,14,Code comprehension,2,"n1;N1;N2;NEST;NOMC;NPAR;STAT;V(G)"
Complexity,14,Software complexity,2,"AHF;AIF;CBO;COF;DIT;LCOM;MHF;MIF;NMI;NMO;NOA;NOAC;NOC;NOM;NOPA;NOPM;NPAR;PF;RFC;SIX;STAT;V(G);WMC"

Assessment,11,Metrics assessment,11,"AHF;AIF;Ca;CBO;CC;Ce;CLD;COF;D;DAC;DCO;DIT;E;FANIN;FANOUT;HC;I;ICH;IIF;LCC;LCOM;LCOM5;LOC;LSCC;MHF;MIF;MPC;NAS;NCLASS;NMI;NMO;NOA;NOAI;NOC;NOM;NOPM;PF;RFC;RR;SCOM;Size2;SR;SUBC;SUPC;TCC;V(G);WMC"

Change,9,Software change proneness,8,"CBO;CI;DAM;DIT;IUC;LCOM;LOC;MOA;NIM;NIV;NOA;NOC;NOM;NOPM;NOPRM;NPAR;RFC;SLOC;V(G);WMC"
Change,9,Code churn estimation,1,"FANOUT;LCOMM;LOC;NCLASS;NEST;NINT;NOM;NPATH;NSTR;STAT;V(G)"

Cohesion,10,Software cohesion,10,"AAC;AMCoh;C;C3;C3M;CAM;CBMC;CBO;CC;COM;DCD;DCI;ICBMC;LCC;LCOM;LCOM2;LCOM3;LCOM4;LCOM5;LSCC;MMAC;MMI;MMIC;MPC;NHD;SCC;SCOM;TCC"

Other,9,Creation of public datasets,4,"A; ANA; Ca; CBO; Ce; DAM; DCC; DIT; Dn; FANIN; FANOUT; I; LCOM; LOC; MFA; MLOC; MOA; NEST; NINT; NMI; NMO; NOA; NOAI; NOC; NOM; NOP; NOPA;NOPM; NOPRA; NOPRM; NPAR; NSF; NSM; RFC; SIX; SLOC; V(G); WMC"
Other,9,Analysis of network simulators,1,"LCOMM; LOC, NOM; V(G)"
Other,9,Ontology evaluation,1,"AHEF; AHF; AIF; CBO; COF; DIT; FANIN; FANOUT; IIF; LCOM; LOC; MHF; MIF; NOC; OHEF; PF; PPF; RFC; SEIMI; V(G); WMC"
